date,total_precipitation_mm
2022-01-01,9.211969228431371
2022-01-02,13.028512200435216
2022-01-03,7.6308150792101515
2022-01-04,8.410738559575748
2022-01-05,15.915220609031167
2022-01-06,6.308076860705114
2022-01-07,11.693748558172956
2022-01-08,1.5042932423057227
2022-01-09,7.473727671822417
2022-01-10,6.291102372557583
2022-01-11,22.836866635771003
2022-01-12,18.185805719895143
2022-01-13,12.657112993224478
2022-01-14,8.223226121458538
2022-01-15,3.282656234290471
2022-01-16,1.7053405599654088
2022-01-17,2.85551104730075
2022-01-18,18.357451682277315
2022-01-19,4.632908552736119
2022-01-20,8.625003400084097
2022-01-21,2.2227281056075388
2022-01-22,2.546389472939829
2022-01-23,2.895859208592803
2022-01-24,7.4455068073575585
2022-01-25,3.8778343195531253
2022-01-26,7.968462287749391
2022-01-27,19.262417145000654
2022-01-28,10.864831955132106
2022-01-29,0.8152271653898459
2022-01-30,1.4483008399110864
2022-01-31,7.3739125695056025
2022-02-01,0.9932071063758554
2022-02-02,0.6560702705940055
2022-02-03,10.12998910391616
2022-02-04,13.08775532669415
2022-02-05,21.70795601341524
2022-02-06,16.364179443826288
2022-02-07,13.686378986676573
2022-02-08,18.03398320407723
2022-02-09,11.102251293777954
2022-02-10,12.810990313482762
2022-02-11,20.42703416373115
2022-02-12,4.011121709936571
2022-02-13,4.075716758848099
2022-02-14,10.832710686344171
2022-02-15,17.375529498167452
2022-02-16,7.507666581375361
2022-02-17,22.559719094715547
2022-02-18,12.869446810270798
2022-02-19,16.927135455262032
2022-02-20,8.859188727114997
2022-02-21,0.36320503375010005
2022-02-22,9.800369561816074
2022-02-23,9.095438833327307
2022-02-24,3.551183072886488
2022-02-25,0.12706976608001241
2022-02-26,1.693144138840811
2022-02-27,4.598667381713986
2022-02-28,2.4025425085767367
2022-03-01,21.418815818947227
2022-03-02,23.33529652605648
2022-03-03,8.055338403778478
2022-03-04,17.52783779579659
2022-03-05,14.375182772084827
2022-03-06,8.925580751679263
2022-03-07,13.414380311189696
2022-03-08,1.335396407711166
2022-03-09,10.598615946491917
2022-03-10,7.391082835965792
2022-03-11,11.270666865812018
2022-03-12,15.326888541267182
2022-03-13,19.089504936573572
2022-03-14,5.047197045257686
2022-03-15,17.95996275723155
2022-03-16,4.045489466278694
2022-03-17,17.81388422389795
2022-03-18,38.7147426372394
2022-03-19,7.225316324365849
2022-03-20,1.4013407728725724
2022-03-21,28.25469653635082
2022-03-22,7.293980375521876
2022-03-23,4.661175414753405
2022-03-24,4.595981864838452
2022-03-25,8.683920395469617
2022-03-26,3.1488944462694146
2022-03-27,2.809398400245307
2022-03-28,1.1941997631765808
2022-03-29,11.530435953318355
2022-03-30,15.238671415659155
2022-03-31,4.022499354732648
2022-04-01,10.963177438213735
2022-04-02,13.490905335942216
2022-04-03,2.9697685687040156
2022-04-04,8.613868799727705
2022-04-05,6.197195458753413
2022-04-06,2.2020941115670247
2022-04-07,2.4287113038781207
2022-04-08,1.0722361198531907
2022-04-09,6.0183127199025055
2022-04-10,2.9247524268498584
2022-04-11,0.23664016430301021
2022-04-12,0.5197863973762894
2022-04-13,2.008025763103672
2022-04-14,2.758001695838175
2022-04-15,4.724629423662944
2022-04-16,12.172216623810085
2022-04-17,1.155994115151774
2022-04-18,9.824130955621513
2022-04-19,19.053935468832602
2022-04-20,14.545077209277224
2022-04-21,22.224074604309862
2022-04-22,3.601780480948946
2022-04-23,2.1569235464085104
2022-04-24,11.254704356019829
2022-04-25,5.863828945962265
2022-04-26,10.935962460337132
2022-04-27,3.9721741535174715
2022-04-28,12.213956319556011
2022-04-29,1.7634715881627034
2022-04-30,5.415826683702107
2022-05-01,5.519593207480966
2022-05-02,4.834980810016988
2022-05-03,3.1428761207052958
2022-05-04,8.494405350347739
2022-05-05,0.9790388753572101
2022-05-06,5.577568344335756
2022-05-07,5.417374919488793
2022-05-08,24.59834489491186
2022-05-09,16.42539355725603
2022-05-10,2.7362947909637114
2022-05-11,19.816604952779926
2022-05-12,8.570753438789325
2022-05-13,14.68035757835651
2022-05-14,11.930796265005482
2022-05-15,3.058299966880897
2022-05-16,9.854125771710187
2022-05-17,12.178783110584845
2022-05-18,6.4011871711500135
2022-05-19,5.564321206179551
2022-05-20,10.440358334733443
2022-05-21,12.01672278511979
2022-05-22,8.17713248534347
2022-05-23,8.89244844481141
2022-05-24,1.6840272398894722
2022-05-25,10.73763714953202
2022-05-26,2.69985895374702
2022-05-27,1.123959949097742
2022-05-28,0.20706970067860786
2022-05-29,5.357628360684435
2022-05-30,0.5538881685538208
2022-05-31,5.538382612030553
2022-06-01,7.812290133529126
2022-06-02,1.0356072735930935
2022-06-03,11.527359624523115
2022-06-04,2.6378275852039224
2022-06-05,5.472378821906432
2022-06-06,7.581290220855413
2022-06-07,6.138592316005994
2022-06-08,5.233579068431027
2022-06-09,6.482930673911371
2022-06-10,1.3050332117643357
2022-06-11,3.019763213274018
2022-06-12,9.5840450196647
2022-06-13,8.954289578326778
2022-06-14,3.9769634527147026
2022-06-15,7.311944360480993
2022-06-16,15.319774466661329
2022-06-17,20.492764846494538
2022-06-18,5.900113293762383
2022-06-19,7.383909240559209
2022-06-20,3.5977132529296796
2022-06-21,17.797346250517876
2022-06-22,12.94176758165122
2022-06-23,17.67973737645434
2022-06-24,7.0488928562326745
2022-06-25,1.8705402378032046
2022-06-26,8.199685065619633
2022-06-27,3.4898639302127794
2022-06-28,18.29317486351556
2022-06-29,8.250171507540927
2022-06-30,7.332815168410889
2022-07-01,5.066189143803975
