date,id,longitude,latitude,time,total_precipitation
2022-01-01 00:00:00,20220101T00,116.26445564716907,-1.8819705202303976,1640995200000,0.22951370920054615
2022-01-01 01:00:00,20220101T01,116.26445564716907,-1.8819705202303976,1640998800000,0.07547812856500968
2022-01-01 02:00:00,20220101T02,116.26445564716907,-1.8819705202303976,1641002400000,0.03859010030282661
2022-01-01 03:00:00,20220101T03,116.26445564716907,-1.8819705202303976,1641006000000,0.04198848910164088
2022-01-01 04:00:00,20220101T04,116.26445564716907,-1.8819705202303976,1641009600000,0.0186367269634502
2022-01-01 05:00:00,20220101T05,116.26445564716907,-1.8819705202303976,1641013200000,0.024260718419100158
2022-01-01 06:00:00,20220101T06,116.26445564716907,-1.8819705202303976,1641016800000,0.03285614002379589
2022-01-01 07:00:00,20220101T07,116.26445564716907,-1.8819705202303976,1641020400000,0.035671870136866346
2022-01-01 08:00:00,20220101T08,116.26445564716907,-1.8819705202303976,1641024000000,2.73882900364697
2022-01-01 09:00:00,20220101T09,116.26445564716907,-1.8819705202303976,1641027600000,0.037005105696152896
2022-01-01 10:00:00,20220101T10,116.26445564716907,-1.8819705202303976,1641031200000,0.985198188573122
2022-01-01 11:00:00,20220101T11,116.26445564716907,-1.8819705202303976,1641034800000,1.0773555841296911
2022-01-01 12:00:00,20220101T12,116.26445564716907,-1.8819705202303976,1641038400000,0.7926230318844318
2022-01-01 13:00:00,20220101T13,116.26445564716907,-1.8819705202303976,1641042000000,0.25635771453380585
2022-01-01 14:00:00,20220101T14,116.26445564716907,-1.8819705202303976,1641045600000,0.008214946319640148
2022-01-01 15:00:00,20220101T15,116.26445564716907,-1.8819705202303976,1641049200000,0.001836099158936122
2022-01-01 16:00:00,20220101T16,116.26445564716907,-1.8819705202303976,1641052800000,0.2839881635736674
2022-01-01 17:00:00,20220101T17,116.26445564716907,-1.8819705202303976,1641056400000,0.7611934561282396
2022-01-01 18:00:00,20220101T18,116.26445564716907,-1.8819705202303976,1641060000000,0.39251483394764364
2022-01-01 19:00:00,20220101T19,116.26445564716907,-1.8819705202303976,1641063600000,0.6361797568388283
2022-01-01 20:00:00,20220101T20,116.26445564716907,-1.8819705202303976,1641067200000,0.4251337086316198
2022-01-01 21:00:00,20220101T21,116.26445564716907,-1.8819705202303976,1641070800000,0.12238563795108348
2022-01-01 22:00:00,20220101T22,116.26445564716907,-1.8819705202303976,1641074400000,0.10731729707913473
2022-01-01 23:00:00,20220101T23,116.26445564716907,-1.8819705202303976,1641078000000,0.08884081762516871
2022-01-02 00:00:00,20220102T00,116.26445564716907,-1.8819705202303976,1641081600000,0.09655005851527676
2022-01-02 01:00:00,20220102T01,116.26445564716907,-1.8819705202303976,1641085200000,0.10321332229068503
2022-01-02 02:00:00,20220102T02,116.26445564716907,-1.8819705202303976,1641088800000,0.0954511997406371
2022-01-02 03:00:00,20220102T03,116.26445564716907,-1.8819705202303976,1641092400000,0.10425341315567493
2022-01-02 04:00:00,20220102T04,116.26445564716907,-1.8819705202303976,1641096000000,0.14297754387371242
2022-01-02 05:00:00,20220102T05,116.26445564716907,-1.8819705202303976,1641099600000,0.1355899148620665
2022-01-02 06:00:00,20220102T06,116.26445564716907,-1.8819705202303976,1641103200000,0.11100283154519275
2022-01-02 07:00:00,20220102T07,116.26445564716907,-1.8819705202303976,1641106800000,0.5611221422441304
2022-01-02 08:00:00,20220102T08,116.26445564716907,-1.8819705202303976,1641110400000,3.978060558438301
2022-01-02 09:00:00,20220102T09,116.26445564716907,-1.8819705202303976,1641114000000,0.6063640466891229
2022-01-02 10:00:00,20220102T10,116.26445564716907,-1.8819705202303976,1641117600000,0.27403986314311624
2022-01-02 11:00:00,20220102T11,116.26445564716907,-1.8819705202303976,1641121200000,0.4025305388495326
2022-01-02 12:00:00,20220102T12,116.26445564716907,-1.8819705202303976,1641124800000,0.39044831646606326
2022-01-02 13:00:00,20220102T13,116.26445564716907,-1.8819705202303976,1641128400000,0.9579116594977677
2022-01-02 14:00:00,20220102T14,116.26445564716907,-1.8819705202303976,1641132000000,0.8023891132324934
2022-01-02 15:00:00,20220102T15,116.26445564716907,-1.8819705202303976,1641135600000,0.8875109488144517
2022-01-02 16:00:00,20220102T16,116.26445564716907,-1.8819705202303976,1641139200000,0.9697442292235792
2022-01-02 17:00:00,20220102T17,116.26445564716907,-1.8819705202303976,1641142800000,1.0887356474995613
2022-01-02 18:00:00,20220102T18,116.26445564716907,-1.8819705202303976,1641146400000,0.815844046883285
2022-01-02 19:00:00,20220102T19,116.26445564716907,-1.8819705202303976,1641150000000,0.12932725076097995
2022-01-02 20:00:00,20220102T20,116.26445564716907,-1.8819705202303976,1641153600000,0.01671492100285832
2022-01-02 21:00:00,20220102T21,116.26445564716907,-1.8819705202303976,1641157200000,0.0034752729334286414
2022-01-02 22:00:00,20220102T22,116.26445564716907,-1.8819705202303976,1641160800000,0.08532658830517903
2022-01-02 23:00:00,20220102T23,116.26445564716907,-1.8819705202303976,1641164400000,0.26992877246811986
2022-01-03 00:00:00,20220103T00,116.26445564716907,-1.8819705202303976,1641168000000,0.14619743160437793
2022-01-03 01:00:00,20220103T01,116.26445564716907,-1.8819705202303976,1641171600000,0.18946333148051053
2022-01-03 02:00:00,20220103T02,116.26445564716907,-1.8819705202303976,1641175200000,0.23219178547151387
2022-01-03 03:00:00,20220103T03,116.26445564716907,-1.8819705202303976,1641178800000,0.5990503705106676
2022-01-03 04:00:00,20220103T04,116.26445564716907,-1.8819705202303976,1641182400000,0.20991006749682128
